No,Activated,Brand,Ti,Al,Zr,Mo,V,Ta,Nb,Cr,Fe,Sn,Sys,FirstAppearinLine,CompNum,Produce_Lab,Produce_Factory,InitStat,Deform,DeformTemp_C,DeformRate,HT1,HT1Temp_C,HT1Time_h,Cool1,HT2,HT2Temp_C,HT2Time_h,Cool2,YM,HV,UTS,YS,El,均匀延伸率 (%),断面收缩率(%),断裂韧性KIC（MPa.m12）,应力腐蚀断裂韧性KISCC（MPa·m12）,夏比冲击吸收功KU2（J）,夏比冲击韧性值aku2（Jcm2）,夏比冲击吸收功KV2（J）,夏比冲击韧性值akV2（Jcm2）,（其他）,reference_id (文献数据标记doi；实验数据标记人员姓名),文献名称,文献序号,汇总信息人员姓名,序号,核对人员姓名,备注
95,1,,66,0,0,0,0,0,32,0,0,2,Ti-Nb-Sn,299,3,1,0,2,0,0,0,1,950,0.5,1,0,0,0,0,,60,780,665,32,,,,,,,,,,10.1016j.matdes.2017.04.014,Controlled nanoscale precipitation to enhance the mechanical and biological performances of a metastable <a6><c2> Ti-Nb-Sn alloy for orthopedic applications,21,石欣逾,95,,
96,1,,66,0,0,0,0,0,32,0,0,2,Ti-Nb-Sn,299,3,1,0,2,0,0,0,1,950,0.5,1,1,500,6,2,,82,1070,960,8,,,,,,,,,,10.1016j.matdes.2017.04.015,Controlled nanoscale precipitation to enhance the mechanical and biological performances of a metastable <a6><c3> Ti-Nb-Sn alloy for orthopedic applications,21,石欣逾,96,,
97,1,,66,0,0,0,0,0,32,0,0,2,Ti-Nb-Sn,299,3,1,0,2,0,0,0,1,950,0.5,1,1,600,6,2,,,685,560,7,,,,,,,,,,10.1016j.matdes.2017.04.016,Controlled nanoscale precipitation to enhance the mechanical and biological performances of a metastable <a6><c4> Ti-Nb-Sn alloy for orthopedic applications,21,石欣逾,97,,
218,1,,62.8,0,0,0,0,0,26.2,0,0,11,Ti-Nb-Sn,299,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,,,447,397,16.9,,,,,,,,,,,收集于西工大硕博论文，未公开,218,袁睿豪,218,,
219,1,,62.8,0,0,0,0,0,26.2,0,0,11,Ti-Nb-Sn,299,3,1,0,2,1,90,0,0,0,0,0,0,0,0,0,,,855,641,6.3,,,,,,,,,,,收集于西工大硕博论文，未公开,219,袁睿豪,219,,
220,1,,62.8,0,0,0,0,0,26.2,0,0,11,Ti-Nb-Sn,299,3,1,0,1,0,0,0,0,0,0,0,1,400,0.333333333,1,,,1049,934,3.7,,,,,,,,,,,收集于西工大硕博论文，未公开,220,袁睿豪,220,,
221,1,,62.8,0,0,0,0,0,26.2,0,0,11,Ti-Nb-Sn,299,3,1,0,1,0,0,0,0,0,0,0,1,450,0.333333333,1,,,799,786,4,,,,,,,,,,,收集于西工大硕博论文，未公开,221,袁睿豪,221,,
222,1,,62.8,0,0,0,0,0,26.2,0,0,11,Ti-Nb-Sn,299,3,1,0,1,0,0,0,1,950,1,1,0,0,0,0,,,590,579,27.8,,,,,,,,,,,收集于西工大硕博论文，未公开,222,袁睿豪,222,,
223,1,,62.8,0,0,0,0,0,26.2,0,0,11,Ti-Nb-Sn,299,3,1,0,1,0,0,0,1,950,1,1,1,400,0.333333333,1,,,576,543,19.5,,,,,,,,,,,收集于西工大硕博论文，未公开,223,袁睿豪,223,,
224,1,,62.8,0,0,0,0,0,26.2,0,0,11,Ti-Nb-Sn,299,3,1,0,1,0,0,0,1,950,1,1,1,450,0.333333333,1,,,587,581,14.1,,,,,,,,,,,收集于西工大硕博论文，未公开,224,袁睿豪,224,,
362,1,,79.24,0,0,0,0,0,19.79,0,0,0.97,Ti-Nb-Sn,299,3,1,0,2,0,0,0,0,0,0,1,0,0,0,0,60,,,665,,,,,,,,,,,,A compilation of experimental dataon the mechanical properties and microstructural features of Ti-alloys,362,袁睿豪,362,,
382,1,,75.64,0,0,0,0,0,22.36,0,0,2,Ti-Nb-Sn,299,3,1,0,2,0,0,0,0,0,0,1,0,0,0,0,55,,,376,,,,,,,,,,,,A compilation of experimental dataon the mechanical properties and microstructural features of Ti-alloys,382,袁睿豪,382,,
383,1,,72.91,0,0,0,0,0,23.02,0,0,4.07,Ti-Nb-Sn,299,3,1,0,2,0,0,0,0,0,0,1,0,0,0,0,61,,,444,,,,,,,,,,,,A compilation of experimental dataon the mechanical properties and microstructural features of Ti-alloys,383,袁睿豪,383,,
455,1,,76.65,0,0,0,0,0,22.11,0,0,1.24,Ti-Nb-Sn,299,3,1,0,2,0,0,0,0,0,0,1,0,0,0,0,65.8,,,237,,,,,,,,,,,,A compilation of experimental dataon the mechanical properties and microstructural features of Ti-alloys,455,袁睿豪,455,,
456,1,,74.95,0,0,0,0,0,22.53,0,0,2.52,Ti-Nb-Sn,299,3,1,0,2,0,0,0,0,0,0,1,0,0,0,0,68.2,,,216,,,,,,,,,,,,A compilation of experimental dataon the mechanical properties and microstructural features of Ti-alloys,456,袁睿豪,456,,
457,1,,73.2,0,0,0,0,0,22.95,0,0,3.85,Ti-Nb-Sn,299,3,1,0,2,0,0,0,0,0,0,1,0,0,0,0,86.4,,,262,,,,,,,,,,,,A compilation of experimental dataon the mechanical properties and microstructural features of Ti-alloys,457,袁睿豪,457,,
492,1,,77,0,0,0,0,0,22,0,0,1,Ti-Nb-Sn,299,3,1,0,2,0,0,0,0,0,0,1,0,0,0,0,65,,,503,,,,,,,,,,,,A compilation of experimental dataon the mechanical properties and microstructural features of Ti-alloys,492,袁睿豪,492,,
12,1,,77.78,0,0,0,0,0,16.66,0,0,5.56,Ti-Nb-Sn,299,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,56,,,,,,,,,,,,,,,,,万鑫泉,,,
39,1,,62.8,0,0,0,0,0,26.2,0,0,11,Ti-Nb-Sn,299,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,56,,,,,,,,,,,,,,,,,万鑫泉,,,
67,1,,80.7,0,0,0,0,0,18.34,0,0,0.96,Ti-Nb-Sn,299,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,77.4,,,,,,,,,,,,,,,,,万鑫泉,,,
68,1,,79.45,0,0,0,0,0,18.61,0,0,1.94,Ti-Nb-Sn,299,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,72.2,,,,,,,,,,,,,,,,,万鑫泉,,,
69,1,,78.17,0,0,0,0,0,18.88,0,0,2.95,Ti-Nb-Sn,299,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,67,,,,,,,,,,,,,,,,,万鑫泉,,,
70,1,,76.84,0,0,0,0,0,19.16,0,0,4,Ti-Nb-Sn,299,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,74,,,,,,,,,,,,,,,,,万鑫泉,,,
71,1,,75.48,0,0,0,0,0,19.45,0,0,5.07,Ti-Nb-Sn,299,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,92,,,,,,,,,,,,,,,,,万鑫泉,,,
88,1,,75.64,0,0,0,0,0,22.36,0,0,2,Ti-Nb-Sn,299,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,54.86,,,,,,,,,,,,,,,,,万鑫泉,,,
135,1,,45.74,0,0,0,0,0,49.72,0,0,4.54,Ti-Nb-Sn,299,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,63.55,,,,,,,,,,,,,,,,,万鑫泉,,,
160,1,,78.71,0,0,0,0,0,15.84,0,0,5.45,Ti-Nb-Sn,299,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,55,,,,,,,,,,,,,,,,,万鑫泉,,,
170,1,,79.35,0,0,0,0,0,15.73,0,0,4.92,Ti-Nb-Sn,299,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,72,,,,,,,,,,,,,,,,,万鑫泉,,,
171,1,,80.62,0,0,0,0,0,15.5,0,0,3.88,Ti-Nb-Sn,299,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,52,,,,,,,,,,,,,,,,,万鑫泉,,,
174,1,,79.99,0,0,0,0,0,15.61,0,0,4.4,Ti-Nb-Sn,299,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,53,,,,,,,,,,,,,,,,,万鑫泉,,,
183,1,,72.91,0,0,0,0,0,23.03,0,0,4.06,Ti-Nb-Sn,299,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,61,,,,,,,,,,,,,,,,,万鑫泉,,,
184,1,,76.98,0,0,0,0,0,22.03,0,0,0.99,Ti-Nb-Sn,299,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,51,,,,,,,,,,,,,,,,,万鑫泉,,,
16,1,,90,6,0,0,4,0,0,0,0,0,Ti-Al-V,337,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,113,,1173,999,6,,,,,,,,,,10.1016j.jallcom.2007.10.056,"A comparison of tensile properties and corrosion behavior of cast Ti<a8>C7.5Mo with c.p. Ti, Ti<a8>C15Mo and Ti<a8>C6Al<a8>C6V alloys",4,石欣逾,16,,
26,0,,90,5.9,0,0,4.1,0,0,0,0,0,Ti-Al-V,337,3,0,0,0,0,0,0,1,700,4,0,0,0,0,0,,,,,,,,,,,,,53.3,,,Study of low-temperature impact deformation behavior of Ti–6Al–4V alloy,5,常海峰,26,,无可用性能
27,0,,90,5.9,0,0,4.1,0,0,0,0,0,Ti-Al-V,337,3,0,0,0,0,0,0,1,700,4,0,0,0,0,0,,,,,,,,,,,,,45.7,,,Study of low-temperature impact deformation behavior of Ti–6Al–4V alloy,5,常海峰,27,,无可用性能
28,0,,90,5.9,0,0,4.1,0,0,0,0,0,Ti-Al-V,337,3,0,0,0,0,0,0,1,700,4,0,0,0,0,0,,,,,,,,,,,,,21.2,,,Study of low-temperature impact deformation behavior of Ti–6Al–4V alloy,5,常海峰,28,,无可用性能
36,1,,72.96,5.2,0,0,21.67,0,0,0,0,0,Ti-Al-V,337,3,1,0,1,0,0,0,1,900,0.5,1,1,600,4,2,,,1076.67,956.67,19.5,,,,,,,,,,,收集于西工大硕博论文，未公开,36,袁睿豪,36,,
37,1,,72.96,5.2,0,0,21.67,0,0,0,0,0,Ti-Al-V,337,3,1,0,1,0,0,0,1,900,0.5,1,1,700,4,2,,,875,816.67,15.83,,,,,,,,,,,收集于西工大硕博论文，未公开,37,袁睿豪,37,,
376,1,,86.2,10.2,0,0,3.6,0,0,0,0,0,Ti-Al-V,337,3,1,0,2,0,0,0,0,0,0,2,0,0,0,0,110,,,760,,,,,,,,,,,,A compilation of experimental dataon the mechanical properties and microstructural features of Ti-alloys,376,袁睿豪,376,,
38,1,,89,0,0,8,0,0,0,0,0,3,Ti-Mo-Sn,344,3,1,0,2,1,20,94,1,900,0.5,1,0,0,0,0,66.9,,768,365,30.29,,,,,,,,,,10.1016j.jmst.2023.01.062,Superelastic metastable Ti-Mo-Sn alloys with high elastic admissible strain for potential bio-implant applications,6,石欣逾,38,,
39,1,,87,0,0,8,0,0,0,0,0,5,Ti-Mo-Sn,344,3,1,0,2,1,20,94,1,900,0.5,1,0,0,0,0,74.8,,743,361,29.44,,,,,,,,,,10.1016j.jmst.2023.01.063,Superelastic metastable Ti-Mo-Sn alloys with high elastic admissible strain for potential bio-implant applications,6,石欣逾,39,,
40,1,,85,0,0,8,0,0,0,0,0,7,Ti-Mo-Sn,344,3,1,0,2,1,20,94,1,900,0.5,1,0,0,0,0,76.8,,738,335,24.527,,,,,,,,,,10.1016j.jmst.2023.01.064,Superelastic metastable Ti-Mo-Sn alloys with high elastic admissible strain for potential bio-implant applications,6,石欣逾,40,,
41,1,,83,0,0,8,0,0,0,0,0,9,Ti-Mo-Sn,344,3,1,0,2,1,20,94,1,900,0.5,1,0,0,0,0,68.7,,813,303,10.81,,,,,,,,,,10.1016j.jmst.2023.01.065,Superelastic metastable Ti-Mo-Sn alloys with high elastic admissible strain for potential bio-implant applications,6,石欣逾,41,,
42,1,,81,0,0,8,0,0,0,0,0,11,Ti-Mo-Sn,344,3,1,0,2,1,20,94,1,900,0.5,1,0,0,0,0,58.4,,827,193,6.44,,,,,,,,,,10.1016j.jmst.2023.01.066,Superelastic metastable Ti-Mo-Sn alloys with high elastic admissible strain for potential bio-implant applications,6,石欣逾,42,,
43,1,,79,0,0,8,0,0,0,0,0,13,Ti-Mo-Sn,344,3,1,0,2,1,20,94,1,900,0.5,1,0,0,0,0,50.2,,899,512,11.11,,,,,,,,,,10.1016j.jmst.2023.01.067,Superelastic metastable Ti-Mo-Sn alloys with high elastic admissible strain for potential bio-implant applications,6,石欣逾,43,,
44,1,,77,0,0,8,0,0,0,0,0,15,Ti-Mo-Sn,344,3,1,0,2,1,20,94,1,900,0.5,1,0,0,0,0,46.8,,801,732,19.74,,,,,,,,,,10.1016j.msea.2021.141741,Effect of Nb on microstructure and mechanical properties of Ti-xNb-4Zr<a8>C8Sn alloys,7,石欣逾,44,,
350,1,,89.84,0,0,7.24,0,0,0,0,0,2.92,Ti-Mo-Sn,344,3,1,0,2,0,0,0,0,0,0,1,0,0,0,0,66,,,650,,,,,,,,,,,,A compilation of experimental dataon the mechanical properties and microstructural features of Ti-alloys,350,袁睿豪,350,,
352,1,,94.36,0,0,4.87,0,0,0,0,0,0.77,Ti-Mo-Sn,344,3,1,0,2,0,0,0,0,0,0,1,0,0,0,0,89,,,511,,,,,,,,,,,,A compilation of experimental dataon the mechanical properties and microstructural features of Ti-alloys,352,袁睿豪,352,,
353,1,,92.41,0,0,4.73,0,0,0,0,0,2.86,Ti-Mo-Sn,344,3,1,0,2,0,0,0,0,0,0,1,0,0,0,0,78,,,441,,,,,,,,,,,,A compilation of experimental dataon the mechanical properties and microstructural features of Ti-alloys,353,袁睿豪,353,,
5,1,,87.5,0,0,6.25,0,0,0,0,0,6.25,Ti-Mo-Sn,344,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,70,,,,,,,,,,,,,,,,,万鑫泉,,,
24,1,,75.8,0,0,10.8,0,0,0,0,0,13.4,Ti-Mo-Sn,344,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,70,,,,,,,,,,,,,,,,,万鑫泉,,,
55,1,,92.5,5,0,0,0,0,0,0,2.5,0,Ti-Al-Fe,356,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,112,,1020,895,15,,,,,,,,,,10.1016S0921-5093(97)00806-X,Mechanical properties of biomedical titanium alloys,10,石欣逾,55,,
70,0,,94.688,3.79,0,0,0,0,0,0,0.036,0,Ti-Al-Fe,356,3,0,0,0,0,0,0,1,945,0.5,2,0,0,0,0,,,,,,,,,,,,,,,,Effect of annealing temperature on the notch impact toughness of a laser melting deposited titanium alloy Ti–4Al–1.5Mn,14,常海峰,70,,无可用性能
71,0,,94.688,3.79,0,0,0,0,0,0,0.036,0,Ti-Al-Fe,356,3,0,0,0,0,0,0,1,955,0.5,2,0,0,0,0,,,,,,,,,,,,,,,,Effect of annealing temperature on the notch impact toughness of a laser melting deposited titanium alloy Ti–4Al–1.5Mn,14,常海峰,71,,无可用性能
72,0,,94.688,3.79,0,0,0,0,0,0,0.036,0,Ti-Al-Fe,356,3,0,0,0,0,0,0,1,965,0.5,2,0,0,0,0,,,,,,,,,,,,,,,,Effect of annealing temperature on the notch impact toughness of a laser melting deposited titanium alloy Ti–4Al–1.5Mn,14,常海峰,72,,无可用性能
144,1,,95.115,2.92,0,0,0,0,0,0,1.84,0,Ti-Al-Fe,356,3,1,0,1,0,0,0,1,845,0.5,1,1,520,8,2,,,1300,1245,3.8,,,,,,,,,,,收集于西工大硕博论文，未公开,144,袁睿豪,144,,
145,1,,95.115,2.92,0,0,0,0,0,0,1.84,0,Ti-Al-Fe,356,3,1,0,1,0,0,0,1,845,0.5,1,1,300,8,2,,,1300,1230,4,,,,,,,,,,,收集于西工大硕博论文，未公开,145,袁睿豪,145,,
146,1,,95.115,2.92,0,0,0,0,0,0,1.84,0,Ti-Al-Fe,356,3,1,0,1,0,0,0,1,760,2,1,1,520,8,2,,,1170,1150,12,,,,,,,,,,,收集于西工大硕博论文，未公开,146,袁睿豪,146,,
147,1,,95.115,2.92,0,0,0,0,0,0,1.84,0,Ti-Al-Fe,356,3,1,0,2,1,740,40,0,0,0,0,1,500,8,2,,,1104.43,1096.01,12.8678,,,,,,,,,,,收集于西工大硕博论文，未公开,147,袁睿豪,147,,
148,1,,95.115,2.92,0,0,0,0,0,0,1.84,0,Ti-Al-Fe,356,3,1,0,2,1,780,40,0,0,0,0,1,500,8,2,,,1149.71,1113.93,11.5757,,,,,,,,,,,收集于西工大硕博论文，未公开,148,袁睿豪,148,,
149,1,,95.115,2.92,0,0,0,0,0,0,1.84,0,Ti-Al-Fe,356,3,1,0,2,1,845,40,0,0,0,0,1,500,8,2,,,1327.61,1270.1,2.55886,,,,,,,,,,,收集于西工大硕博论文，未公开,149,袁睿豪,149,,
150,1,,95.115,2.92,0,0,0,0,0,0,1.84,0,Ti-Al-Fe,356,3,1,0,2,1,700,35,0,0,0,0,1,500,8,2,,,1124.68,1105.03,13.8583,,,,,,,,,,,收集于西工大硕博论文，未公开,150,袁睿豪,150,,
151,1,,95.115,2.92,0,0,0,0,0,0,1.84,0,Ti-Al-Fe,356,3,1,0,2,1,700,45,0,0,0,0,1,500,8,2,,,1145.02,1115.05,16.063,,,,,,,,,,,收集于西工大硕博论文，未公开,151,袁睿豪,151,,
153,1,,95.115,2.92,0,0,0,0,0,0,1.84,0,Ti-Al-Fe,356,3,1,0,2,1,780,45,0,0,0,0,1,500,8,2,,,1155,1120,16.8,,,,,,,,,,,收集于西工大硕博论文，未公开,153,袁睿豪,153,,
156,1,,95.115,2.92,0,0,0,0,0,0,1.84,0,Ti-Al-Fe,356,3,1,0,2,1,845,45,0,0,0,0,1,500,8,2,,,1330,1270,7.5,,,,,,,,,,,收集于西工大硕博论文，未公开,156,袁睿豪,156,,
152,1,,95.115,2.92,0,0,0,0,0,0,1.84,0,Ti-Al-Fe,356,3,1,0,2,1,700,50,0,0,0,0,1,500,8,2,,,1134.85,1120.31,15.7874,,,,,,,,,,,收集于西工大硕博论文，未公开,152,袁睿豪,152,,
154,1,,95.115,2.92,0,0,0,0,0,0,1.84,0,Ti-Al-Fe,356,3,1,0,2,1,780,45,0,0,0,0,1,300,8,2,,,1260,1233,13.2,,,,,,,,,,,收集于西工大硕博论文，未公开,154,袁睿豪,154,,
155,1,,95.115,2.92,0,0,0,0,0,0,1.84,0,Ti-Al-Fe,356,3,1,0,2,1,780,45,0,0,0,0,1,300,8,2,,,1230,1195,16,,,,,,,,,,,收集于西工大硕博论文，未公开,155,袁睿豪,155,,
157,1,,95.115,2.92,0,0,0,0,0,0,1.84,0,Ti-Al-Fe,356,3,1,0,2,1,845,45,0,0,0,0,1,300,8,2,,,1355,1265,2.8,,,,,,,,,,,收集于西工大硕博论文，未公开,157,袁睿豪,157,,
158,1,,95.115,2.92,0,0,0,0,0,0,1.84,0,Ti-Al-Fe,356,3,1,0,2,1,845,45,1,780,1,1,1,520,8,2,,,1250,1200,10.5,,,,,,,,,,,收集于西工大硕博论文，未公开,158,袁睿豪,158,,
159,1,,95.115,2.92,0,0,0,0,0,0,1.84,0,Ti-Al-Fe,356,3,1,0,2,1,845,45,1,780,1,1,1,520,8,2,,,1263.3,1203.3,10.2,,,,,,,,,,,收集于西工大硕博论文，未公开,159,袁睿豪,159,,
160,1,,95.115,2.92,0,0,0,0,0,0,1.84,0,Ti-Al-Fe,356,3,1,0,1,1,0,45,1,780,1,2,1,520,8,2,,,1280,1223.3,9.5,,,,,,,,,,,收集于西工大硕博论文，未公开,160,袁睿豪,160,,
161,1,,95.115,2.92,0,0,0,0,0,0,1.84,0,Ti-Al-Fe,356,3,1,0,1,1,0,45,1,760,2,1,1,520,8,2,,,1245,1188,10.3,,,,,,,,,,,收集于西工大硕博论文，未公开,161,袁睿豪,161,,
162,1,,95.115,2.92,0,0,0,0,0,0,1.84,0,Ti-Al-Fe,356,3,1,0,1,1,0,45,1,760,2,1,1,540,8,2,,,1222,1170,11.6,,,,,,,,,,,收集于西工大硕博论文，未公开,162,袁睿豪,162,,
163,1,,95.115,2.92,0,0,0,0,0,0,1.84,0,Ti-Al-Fe,356,3,1,0,1,1,0,45,1,760,2,1,1,580,8,2,,,1048,1018,17.3,,,,,,,,,,,收集于西工大硕博论文，未公开,163,袁睿豪,163,,
164,1,,95.115,2.92,0,0,0,0,0,0,1.84,0,Ti-Al-Fe,356,3,1,0,1,1,0,45,1,760,2,1,1,620,8,2,,,1018,986,20,,,,,,,,,,,收集于西工大硕博论文，未公开,164,袁睿豪,164,,
56,1,,87,6,0,0,0,0,7,0,0,0,Ti-Al-Nb,381,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,,,933,,7.1,,,,,,,,,,10.1016S0921-5093(97)00807-X,Mechanical properties of biomedical titanium alloys,10,石欣逾,56,,
54,0,,90.925,5.91,0,0,0,0,3.03,0,0,0,Ti-Al-Nb,381,3,0,0,3,0,0,0,1,830,2,2,0,0,0,0,,,,,,,,,,,,63.3,,,,Toughening effects of Mo and Nb addition on impact toughness and crack resistance of titanium alloys,9,常海峰,54,,无可用性能
377,1,,85.93,10.51,0,0,0,0,3.56,0,0,0,Ti-Al-Nb,381,3,1,0,2,0,0,0,0,0,0,2,0,0,0,0,110,,,800,,,,,,,,,,,,A compilation of experimental dataon the mechanical properties and microstructural features of Ti-alloys,377,袁睿豪,377,,
109,1,,88,0,0,0,8,0,0,0,0,4,Ti-V-Sn,384,3,1,0,2,1,20,86,1,950,2.5,1,0,0,0,0,,,1040,,6,,,,,,,,,,10.1016j.msea.2006.11.022,α′ Martensite Ti–V–Sn alloys with low Young's modulus and high strength,24,石欣逾,109,,
110,1,,88,0,0,0,8,0,0,0,0,4,Ti-V-Sn,384,3,1,0,2,1,20,86,1,950,2.5,1,1,250,1.5,2,,,1157.51,,4.79,,,,,,,,,,10.1016j.msea.2006.11.023,α′ Martensite Ti–V–Sn alloys with low Young's modulus and high strength,24,石欣逾,110,,
111,1,,75.3,0,0,0,20,0,0,0,0,4.7,Ti-V-Sn,384,3,1,0,2,1,20,86,1,950,2.5,1,0,0,0,0,,,867.08,,8.29,,,,,,,,,,10.1016j.msea.2006.11.024,α′ Martensite Ti–V–Sn alloys with low Young's modulus and high strength,24,石欣逾,111,,
112,1,,75.3,0,0,0,20,0,0,0,0,4.7,Ti-V-Sn,384,3,1,0,2,1,20,86,1,950,2.5,1,1,250,1.5,2,,,1264.12,,0.5,,,,,,,,,,10.1016j.msea.2006.11.025,α′ Martensite Ti–V–Sn alloys with low Young's modulus and high strength,24,石欣逾,112,,
53,0,,92.155,5.73,0,2,0,0,0,0,0,0,Ti-Al-Mo,388,3,0,0,3,0,0,0,1,830,2,2,0,0,0,0,,,,,,,,,,,,62.8,,,,Toughening effects of Mo and Nb addition on impact toughness and crack resistance of titanium alloys,9,常海峰,53,,无可用性能
40,1,,81.85,4.4,0,13.6,0,0,0,0,0,0,Ti-Al-Mo,388,3,1,0,1,0,0,0,1,900,0.5,1,1,500,4,2,,,1393.33,1290,5.67,,,,,,,,,,,收集于西工大硕博论文，未公开,40,袁睿豪,40,,
41,1,,81.85,4.4,0,13.6,0,0,0,0,0,0,Ti-Al-Mo,388,3,1,0,1,0,0,0,1,900,0.5,1,1,600,4,2,,,1116.67,1020,12.5,,,,,,,,,,,收集于西工大硕博论文，未公开,41,袁睿豪,41,,
42,1,,81.85,4.4,0,13.6,0,0,0,0,0,0,Ti-Al-Mo,388,3,1,0,1,0,0,0,1,900,0.5,1,1,700,4,2,,,945,898.33,18.67,,,,,,,,,,,收集于西工大硕博论文，未公开,42,袁睿豪,42,,
78,1,,84,0,0,15,0,0,0,0,1,0,Ti-Mo-Fe,392,3,0,0,3,0,0,0,1,900,1,0,0,0,0,0,,,,845,,,,,,,,,64,,,Enhancement of impact toughness of β-type Ti–Mo alloy by {332}<113> twinning,16,常海峰,Enhancement of impact toughness of β-type Ti–Mo alloy by {332}<113> twinning,张闫,
366,1,,93.61,0,0,2.42,0,0,0,0,3.98,0,Ti-Mo-Fe,392,3,1,0,2,0,0,0,0,0,0,1,0,0,0,0,83,,,936,,,,,,,,,,,,A compilation of experimental dataon the mechanical properties and microstructural features of Ti-alloys,366,袁睿豪,366,,
459,1,,93.44,0,0,6.54,0,0,0,0,0.02,0,Ti-Mo-Fe,392,3,1,0,2,0,0,0,0,0,0,1,0,0,0,0,78,,,481,,,,,,,,,,,,A compilation of experimental dataon the mechanical properties and microstructural features of Ti-alloys,459,袁睿豪,459,,
501,1,,93.61,0,0,6.37,0,0,0,0,0.02,0,Ti-Mo-Fe,392,3,1,0,2,0,0,0,0,0,0,1,0,0,0,0,84,,,480,,,,,,,,,,,,A compilation of experimental dataon the mechanical properties and microstructural features of Ti-alloys,501,袁睿豪,501,,
38,1,,85.11,5.06,0,0,0,0,0,9.68,0,0,Ti-Al-Cr,396,3,1,0,1,0,0,0,1,900,0.5,1,1,600,4,2,,,1043.33,,,,,,,,,,,,,收集于西工大硕博论文，未公开,38,袁睿豪,38,,
39,1,,85.11,5.06,0,0,0,0,0,9.68,0,0,Ti-Al-Cr,396,3,1,0,1,0,0,0,1,900,0.5,1,1,700,4,2,,,1143.3,,,,,,,,,,,,,收集于西工大硕博论文，未公开,39,袁睿豪,39,,
348,1,,94.64,0,0,0,0,2.08,0,0,3.28,0,Ti-Ta-Fe,398,3,1,0,2,0,0,0,0,0,0,1,0,0,0,0,110,,,1250,,,,,,,,,,,,A compilation of experimental dataon the mechanical properties and microstructural features of Ti-alloys,348,袁睿豪,348,,
349,1,,93.82,0,0,0,0,2.75,0,0,3.43,0,Ti-Ta-Fe,398,3,1,0,2,0,0,0,0,0,0,1,0,0,0,0,121,,,1360,,,,,,,,,,,,A compilation of experimental dataon the mechanical properties and microstructural features of Ti-alloys,349,袁睿豪,349,,
406,1,,91.41,0,0,0,0,1.39,0,0,7.2,0,Ti-Ta-Fe,398,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,120,,,1103,,,,,,,,,,,,A compilation of experimental dataon the mechanical properties and microstructural features of Ti-alloys,406,袁睿豪,406,,
407,1,,90.35,0,0,0,0,2.28,0,0,7.38,0,Ti-Ta-Fe,398,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,106,,,1050,,,,,,,,,,,,A compilation of experimental dataon the mechanical properties and microstructural features of Ti-alloys,407,袁睿豪,407,,
408,1,,91.52,0,0,0,0,0.54,0,0,7.93,0,Ti-Ta-Fe,398,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,110,,,1143,,,,,,,,,,,,A compilation of experimental dataon the mechanical properties and microstructural features of Ti-alloys,408,袁睿豪,408,,
409,1,,90.49,0,0,0,0,1.39,0,0,8.12,0,Ti-Ta-Fe,398,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,103,,,1079,,,,,,,,,,,,A compilation of experimental dataon the mechanical properties and microstructural features of Ti-alloys,409,袁睿豪,409,,
410,1,,89.04,0,0,0,0,2.59,0,0,8.38,0,Ti-Ta-Fe,398,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,99,,,1016,,,,,,,,,,,,A compilation of experimental dataon the mechanical properties and microstructural features of Ti-alloys,410,袁睿豪,410,,
411,1,,87.7,0,0,0,0,2.9,0,0,9.4,0,Ti-Ta-Fe,398,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,92,,,1008,,,,,,,,,,,,A compilation of experimental dataon the mechanical properties and microstructural features of Ti-alloys,411,袁睿豪,411,,
386,1,,75.94,0,0,0,0,4.5,19.56,0,0,0,Ti-Ta-Nb,406,3,1,0,2,0,0,0,0,0,0,1,0,0,0,0,66,,,213,,,,,,,,,,,,A compilation of experimental dataon the mechanical properties and microstructural features of Ti-alloys,386,袁睿豪,386,,
